filename|dialogue|dialogue_jp|prefix|prefix_jp|scenario|scenario_jp
Cv-30105_main_1_8.mp3|不太明白这身衣服的含义...不过，如果指挥官喜欢，我会一直穿着的|この服の意味、よくわからないです。…でも指揮官が好きなら、ずっと着ていてもいいと思うです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|主界面1|メイン1
Cv-30105_main_2_8.mp3|大家都太过热情...一直在盯着我看。突然这样还不太习惯...|みんな、盛り上がっていたです。綾波はじっと見られていたのですけど…まだ、ちょっと慣れない、です|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|主界面2|メイン2
Cv-30105_touch_1_8.mp3|这样和指挥官靠在一起的感觉很好，我很喜欢|指揮官と寄り添い合っている感触、気持ちよくて好きです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|触摸|タッチ1
Cv-30105_touch_2_8.mp3|还是感觉…有点奇怪，不过…你喜欢就好|やっぱり、ちょっとだけ…変な感じ、です……ううん、指揮官が好きなら綾波、タイジョウブです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|特殊触摸|タッチ2
Cv-30105_feeling5_8.mp3|和大家呆在一起很开心，但是...还是会想要，和指挥官独处|みんなと一緒にいるのは嬉しいです。けど…綾波、指揮官と二人っきりでもっといたいです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|好感度-爱|ラブ
Cv-30105_mvp_8.mp3|有指挥官在，就绝对不会输|指揮官さえいれば、ぜったいに負けないです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|胜利MVP|勝利
Cv-30105_get_1.mp3|听说参加万圣夜必须得穿上类似的衣服……指挥官……现在的我好看吗？|ハロウィンに参加するにはこういう服を着なければならない、と聞いたのです。指揮官…今の綾波はカワイイですか？|待宵的魔女|宵闇待ちの魔女 ボイス一覧|获得|入手時
Cv-30105_main_1_1.mp3|这是……糖果？谢谢，我会尝尝看的……|これは……お菓子ですか？ありがとです。食べるです|待宵的魔女|宵闇待ちの魔女 ボイス一覧|主界面1|メイン1
Cv-30105_main_2_1.mp3|除去战斗与训练，世界上好像还存在其他形式的乐趣……|戦闘と訓練以外も、楽しいことはあるのです、ね……|待宵的魔女|宵闇待ちの魔女 ボイス一覧|主界面2|メイン2
Cv-30105_main_3_1.mp3|如果站在南瓜灯上，会不会离天空更近些呢？|かぼちゃのライトの上に立っていれば、空により近づけるのですか？|待宵的魔女|宵闇待ちの魔女 ボイス一覧|主界面3|メイン3
Cv-30105_touch_1_1.mp3|这身衣服，我很中意……|この服は…好き、です|待宵的魔女|宵闇待ちの魔女 ボイス一覧|触摸|タッチ1
Cv-30105_touch_2_1.mp3|今夜的我不是鬼神，而是魔女……|「今夜の私（わたくし）はキシンではなく、マジョ……」（ひらひら）|待宵的魔女|宵闇待ちの魔女 ボイス一覧|特殊触摸|タッチ2
Cv-30105_get_2.mp3|发现新的动画投稿……指挥官，等下一起看直播好吗？|新着動画、発見です…指揮官、あとで生放送でも一緒にどうです？|ニコニコ|ニコニコ ボイス一覧|获得|入手時
Cv-30105_get_3.mp3|指挥官，一起听歌吗？兵器以外的我，喜欢吗？|指揮官、一緒に音楽を聞くのはどうですか？兵器ではない綾波…お気に入りですか？|乐队型鬼神|ROCK’n KIJIN ボイス一覧|获得|入手時
Cv-30105_login_3.mp3|指挥官，工作之前，要先听一会音乐吗？|指揮官、仕事の前に、音楽でも一緒にどうですか？|乐队型鬼神|ROCK’n KIJIN ボイス一覧|登录|ログイン
Cv-30105_detail_3.mp3|戴上耳机后，感觉全世界就只剩下音乐，还有······眼前的人|ヘッドホンをつければ、流れる音…そして目の前にいる人だけが世界の全てです|乐队型鬼神|ROCK’n KIJIN ボイス一覧|查看详情|詳細確認
Cv-30105_main_1_3.mp3|指挥官，标枪约我等会儿一起去玩，我可以去吗？|指揮官、ジャベリンから誘われたのですけど、行っていいですか？|乐队型鬼神|ROCK’n KIJIN ボイス一覧|主界面1|メイン1
Cv-30105_main_2_3.mp3|指挥官喜欢什么样的歌呢？我的话······唔，摇滚？|指揮官はどんな曲が好きですか？綾波は…ロックンロール？|乐队型鬼神|ROCK’n KIJIN ボイス一覧|主界面2|メイン2
Cv-30105_main_3_3.mp3|雷说她最近在玩”手机游戏“······指挥官，”手机游戏“是什么？|雷は「そしゃげ」にハマっていると言っていたのですけど……指揮官、「そしゃげ」は何ですか？|乐队型鬼神|ROCK’n KIJIN ボイス一覧|主界面3|メイン3
Cv-30105_touch_1_3.mp3|绫波的武器，现在还能变形成乐器···指挥官，想听听看吗？|綾波の艤装、楽器になれるのです。…指揮官、綾波の演奏を聞きたいですか？|乐队型鬼神|ROCK’n KIJIN ボイス一覧|触摸|タッチ1
Cv-30105_mission_complete_3.mp3|今天的奖励，稍微有些期待···|今日の報酬、少し期待できるのです|乐队型鬼神|ROCK’n KIJIN ボイス一覧|任务完成|任務完了
Cv-30105_expedition_3.mp3|训练与委托···无论何时都不能懈怠···|訓練と委託…どんな時でも怠けてはいけないのです|乐队型鬼神|ROCK’n KIJIN ボイス一覧|委托完成|委託完了
Cv-30105_warcry_3.mp3|这首歌，正适合战场···|今聞いている曲、戦場にはピッタリです|乐队型鬼神|ROCK’n KIJIN ボイス一覧|旗舰开战|戦闘開始
Cv-30105_mvp_3.mp3|”只要微笑就可以了“···那是什么意思？|「笑えばいい」…どういう意味ですか？|乐队型鬼神|ROCK’n KIJIN ボイス一覧|胜利MVP|勝利
Cv-30105_get_4.mp3|东煌的新年和重樱的新年，氛围完全不一样…的说。不过，这样热闹的气氛也不坏，指挥官也…喜欢节日吗?|東煌のお正月と重桜のお正月、結構雰囲気が違う…です。みんなでワイワイやる雰囲気も悪くないです。指揮官もこういう祝日が好き…ですか？|新岁之鬼神|波濤新歳 ボイス一覧|获得|入手時
Cv-30105_login_4.mp3|指挥官，东煌那边好像在吃“年夜饭”?……要不要和绫波一起去看看?|指揮官、東煌の仲間たちはネンヤー……大みそかのご飯を食べているです。綾波と一緒に見に行くです？|新岁之鬼神|波濤新歳 ボイス一覧|登录|ログイン
Cv-30105_detail_4.mp3|东煌风格的衣服，轻巧，感觉不坏…很可爱?谢谢…的说。|東煌風の衣装は軽くて、悪くない感じです。…かわいい、ですか？ありがと…です|新岁之鬼神|波濤新歳 ボイス一覧|查看详情|詳細確認
Cv-30105_main_1_4.mp3|东煌的春节好像要吃饺子…诶?不是煎饺而是水饺…的说?|東煌のお正月、餃子を食べるらしいです。……焼餃子ではなく、水餃子…です？|新岁之鬼神|波濤新歳 ボイス一覧|主界面1|メイン1
Cv-30105_main_2_4.mp3|指挥官，为什么港区里会有爆炸的声音?诶?那是庆祝节日用的道具吗?有点有趣…的说。|指揮官、母港での爆発音はなんですか？祝日のアイテム？面白そう…です|新岁之鬼神|波濤新歳 ボイス一覧|主界面2|メイン2
Cv-30105_main_3_4.mp3|铃铃~铃铃~铃铛的音色…很合适新年的氛围……|(チリンチリン)鈴の音、春節の雰囲気とピッタリ、です|新岁之鬼神|波濤新歳 ボイス一覧|主界面3|メイン3
Cv-30105_touch_1_4.mp3|指挥官，这衣服的材质摸起来很舒服…要试试……?|指揮官、この衣装の素材、いい触り心地です。…触ってみたい…ですか？|新岁之鬼神|波濤新歳 ボイス一覧|触摸|タッチ1
Cv-30105_touch_2_4.mp3|指挥官，那里，不可以掀起来……的说。|指揮官、そこは……めくってはダメ…です|新岁之鬼神|波濤新歳 ボイス一覧|特殊触摸|タッチ2
Cv-30105_feeling5_4.mp3|欢乐祥和的节日，绫波希望就这样和指挥官一起度过…的说|楽しい祝日は綾波、こうして指揮官と一緒に過ごしたい…です|新岁之鬼神|波濤新歳 ボイス一覧|好感度-爱|ラブ
Cv-30105_get_5.mp3|“欢迎光临，指挥官”…打招呼的时候是这样…吧？|None|一式水手风制服||获得|None
Cv-30105_login_5.mp3|指挥官，今天想要来点什么吗？菜单在这里…的说|None|一式水手风制服||登录|None
Cv-30105_detail_5.mp3|见习服务生，是绫波没有经历过的体验，感觉很新鲜…的说|None|一式水手风制服||查看详情|None
Cv-30105_main_1_5.mp3|拉菲说，有时候也需要换换口味，所以…今天要来点甜点吗，指挥官？|None|一式水手风制服||主界面1|None
Cv-30105_main_2_5.mp3|标枪无论做什么的时候都好有精神，有点羡慕…的说|None|一式水手风制服||主界面2|None
Cv-30105_main_3_5.mp3|服务生的工作…果然没有想象中的那么简单…的说|None|一式水手风制服||主界面3|None
Cv-30105_touch_1_5.mp3|餐盘要像这样端…的说——指挥官想要帮绫波？没关系的，还是让绫波自己来吧|None|一式水手风制服||触摸|None
Cv-30105_home_5.mp3|要来一份庆祝胜利回港的特别套餐吗…？|None|一式水手风制服||回港|None
Cv-30105_feeling5_5.mp3|等店里忙完以后，想要和指挥官一起…绫波会给指挥官准备，在店里学会的，特别料理套餐…的说，指挥官，可以吗？|None|一式水手风制服||好感度-爱|None
Cv-30105_get_7.mp3|偶像，绫波，出道？唔，因为标枪她们也出道了，所以，我也要一起……指挥官，偶像平时，都做些什么呢？|鬼神アイドル綾波、デビューです。ジャベリンたちも頑張ってるから、綾波も……指揮官、アイドルって何をすればいいです？|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|获得|入手時
Cv-30105_login_7.mp3|指挥官，我正在练习跳舞，要看吗？|指揮官、綾波のダンス練習を見学するです？|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|登录|ログイン
Cv-30105_detail_7.mp3|Z23，很关心大家……明明自己也有活动，还会帮大家做日程安排，很可靠|ニーミ、みんなの面倒をよく見てくれるです。……自分のオファーもあるのに、みんなのスケジュールまで組んでくれて…頼もしい、です|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|查看详情|詳細確認
Cv-30105_main_1_7.mp3|舞蹈和唱歌我都会，露出笑容，好难…但是，标枪说，这也是我的“萌点”，是真的吗，指挥官？|歌も踊りも楽勝です。笑顔は…難しいです。ジャベリン、綾波の萌えポイントだと言ってたですけど、指揮官、本当ですか？|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|主界面1|メイン1
Cv-30105_main_2_7.mp3|Z23说，偶像和摇滚可能不是很搭，唔，这样的话，可爱金属？|ニーミ、このユニットの芸風はロックとちょっと合わないと言ったです。カワイイメタルのほうがいいです？|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|主界面2|メイン2
Cv-30105_main_3_7.mp3|吹雪好像也在做偶像练习。一会…去看看她好了|吹雪もアイドルの練習やってるらしい、です。あとで見に行くです|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|主界面3|メイン3
Cv-30105_main_4_7.mp3|原来，当偶像每天有那么多的事情要做，感觉，燃起了斗志|スケジュールがいっぱいです。綾波、やる気出てきたです|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|主界面4|メイン4
Cv-30105_touch_1_7.mp3|指挥官，这里是绫波今天训练的成果|指揮官、綾波の今日のレッスンの成果です|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|触摸|タッチ1
Cv-30105_home_7.mp3|把演出看作战斗，观众是敌人的话……唔，好像不行|ライブは戦い、観客は敵……と見てはだめです|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|回港|母港帰還
Cv-30105_warcry_7.mp3|偶像的职责，是保护大家的笑容！|アイドルは、みんなの笑顔を守るものです！|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|旗舰开战|戦闘開始
Cv-30105_mvp_7.mp3|胜利的pose，yeah|勝利の決めポーズ、いえーい…です|冷静偶像·迷惑中|おませアイドル・困惑中 ボイス一覧|胜利MVP|勝利
Cv-30105_get_10.mp3|指挥官，新年快乐。新的一年，也请多多指教…的说。|指揮官、あけましておめでとうです。この一年も、綾波をよろしく…です|新年的愿望|年越しの鼓動 ボイス一覧|获得|入手時
Cv-30105_login_10.mp3|节日里，大家都很开心。绫波，也很开心…|祝日は皆、楽しいです。もちろん、綾波も楽しい…です|新年的愿望|年越しの鼓動 ボイス一覧|登录|ログイン
Cv-30105_detail_10.mp3|吹雪在神社抽到了“凶”，不过，她好像不怎么在意。…我？“小吉”，有点高兴|吹雪、おみくじで凶が出たですけど、あまり気にしていなかったようです。綾波は…小吉、です。嬉しいです|新年的愿望|年越しの鼓動 ボイス一覧|查看详情|詳細確認
Cv-30105_main_1_10.mp3|新年的衣服，很华丽，但是行动有些不便。绫波还没有完全适应…|お正月の衣装、とても綺麗です。でもちょっと動きづらいです…綾波、まだ慣れていないです……|新年的愿望|年越しの鼓動 ボイス一覧|主界面1|メイン1
Cv-30105_main_2_10.mp3|雪花很漂亮，但是，一落在手上，就消失不见了|雪の結晶、とても綺麗ですけど……手のひらに載せるとすぐ融けるです|新年的愿望|年越しの鼓動 ボイス一覧|主界面2|メイン2
Cv-30105_main_3_10.mp3|新的一年，也希望能和指挥官，还有大家，一直在一起。|この一年も、指揮官とみんなと、一緒にいたいです|新年的愿望|年越しの鼓動 ボイス一覧|主界面3|メイン3
Cv-30105_main_4_10.mp3|说到新年的话…煮年糕？指挥官，要来一份吗？还热腾腾的|お正月といえば…お雑煮です。ホカホカです。どうぞ召し上がって、です|新年的愿望|年越しの鼓動 ボイス一覧|主界面4|メイン4
Cv-30105_touch_1_10.mp3|绫波，不冷的说|綾波、別に寒くないです|新年的愿望|年越しの鼓動 ボイス一覧|触摸|タッチ1
Cv-30105_touch_2_10.mp3|不要把衣服弄乱了，不然绫波也不知道该怎么弄好…|服に変なことしちゃダメですっ、綾波、着付けがわからないです……|新年的愿望|年越しの鼓動 ボイス一覧|特殊触摸|タッチ2
Cv-30105_feeling5_10.mp3|新的一年想做的事情？和指挥官还有大家在一起…不算吗？那…春天的时候，想和指挥官一起看樱花，可以吗？|この一年で新たにしたいこと、ですか？指揮官と皆と一緒…じゃ「したいこと」とは言えないですか？指揮官とお花見にいきたい、でもいい…ですか？|新年的愿望|年越しの鼓動 ボイス一覧|好感度-爱|ラブ
Cv-30105_get_6.mp3|这里是绫波，成功潜入指挥室。…啊，被指挥官发现了， 作战失败…的说|こちら綾波、指揮官の執務室周辺に潜入成功したです。…あ、指揮官に見られたです。作戦失敗です…|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|获得|入手時
Cv-30105_login_6.mp3|指挥官，要和绫波一起进行潜入作战的训练吗？…好像不太行，的说|指揮官、綾波と潜入作戦の訓練をするです？…ちょっと無理そう、です|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|登录|ログイン
Cv-30105_detail_6.mp3|虽然和加贺定了潜入作战用的代号，不过大家似乎都不怎么用，有点困扰的说…|潜入作戦中はコードネームで、と加賀さんに言われたです。みんな中々守らなくて、困ったです…|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|查看详情|詳細確認
Cv-30105_main_1_6.mp3|皇家的潜入用装备，非常硬核帅气的说。…有点羡慕，的说。|ロイヤルの人の潜入装備、本格的でカッコいいです。…ちょっと羨ましい、です|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|主界面1|メイン1
Cv-30105_main_2_6.mp3|烦恼的时候，可以找祥凤和Z23聊天，也经常得到吹雪的关心，绫波很高兴的说|困ったときは、祥鳳とニーミたちに相談したりするです。吹雪は…よく綾波にあれこれ聞きに来てくれるです。嬉しいです|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|主界面2|メイン2
Cv-30105_main_3_6.mp3|这个披风？夕张开发的，据说是“披上以后绝对不会露出脸的超厉害款式”的说。是好东西的说…大概|このマントですか？夕張が開発した「かぶったら絶対顔バレしないスゴイステルス」があるらしいです。多分…いいものです|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|主界面3|メイン3
Cv-30105_main_4_6.mp3|指挥官的房间，有大家守护着，有绝对的安全保障，不用担心的说|指揮官の部屋、みんなが守っているからセキュリティは大丈夫です。心配しなくていいです|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|主界面4|メイン4
Cv-30105_touch_1_6.mp3|指挥官要吃苹果吗？很好吃的说|指揮官、りんごを食べるです？美味しいです|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|触摸|タッチ1
Cv-30105_touch_head_6.mp3|这是耳朵，不是角的说…|耳です、角じゃないです……|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|摸头|タッチ3
Cv-30105_mail_6.mp3|邮件已经由大f…负责护卫的女仆队成员确认过了。没问题，可以直接打开的说|メールはたい…護衛担当のメイド隊の人も確認したです。開けても大丈夫です|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|邮件提醒|メール
Cv-30105_upgrade_6.mp3|这是为了同伴而存在的力量…的说!|この力は、仲間を守るためです…！|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|强化成功|強化成功
Cv-30105_warcry_6.mp3|见识下绫波和伙伴们的力量！的说！|綾波と仲間たちの力、見せるです！|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|旗舰开战|戦闘開始
Cv-30105_mvp_6.mp3|成功击破敌方侦察部队，指挥官，感谢的说|敵見張り部隊、撃破成功です。指揮官、感謝です|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|胜利MVP|勝利
Cv-30105_lose_6.mp3|夕张开发的隐蔽功能，没派上用场的说…|夕張の開発した隠蔽機能、あまり役に立たなかったです…|【动漫特典】特殊潜入作战披风|特殊潜入作戦雨覆 ボイス一覧|失败|失敗
Cv-30105_get_11.mp3|指挥官，谢谢你能来参加宴会。绫波在这里等了很久了。……有点可怕？绫波不大明白…的说。|指揮官、パーティーに来てくれてありがとうです。綾波、ずっとここで待っていたです。……ちょっと怖いです？綾波、よくわからない…です|【Live2D】黯然礼服|闇然礼装 ボイス一覧|获得|入手時
Cv-30105_login_11.mp3|“让女士久等不是绅士所为”——开玩笑的。指挥官，欢迎回来的说。|「レディーを待たせるのは、ジェントルマンとしてどうかと思うです」――冗談です。指揮官、おかえりなさいです|【Live2D】黯然礼服|闇然礼装 ボイス一覧|登录|ログイン
Cv-30105_detail_11.mp3|指挥官，一会要跳舞吗？绫波不大会跳…只能加油了。|指揮官、次はダンスです？綾波、ダンスは苦手……です。頑張るしか無いです|【Live2D】黯然礼服|闇然礼装 ボイス一覧|查看详情|詳細確認
Cv-30105_main_1_11.mp3|Z23…感觉对这种场合很习惯了的说，绫波…有点紧张…指挥官，不要离开绫波身边。|ニーミ、すごく場馴れしている感じです。綾波、すごくソワソワしているです…指揮官、綾波の側から離れないでほしいです…|【Live2D】黯然礼服|闇然礼装 ボイス一覧|主界面1|メイン1
Cv-30105_main_2_11.mp3|要缓解紧张的话，只能发动小伙伴传授的力量<Force>……不行吗？|緊張を紛らわすには――教えてもらった<†フォース†>を発動……してはダメ、です？|【Live2D】黯然礼服|闇然礼装 ボイス一覧|主界面2|メイン2
Cv-30105_main_3_11.mp3|听着钢琴的声音，总觉得有点困……指挥官不困吗？|ピアノの音を聞いていると、なんだかちょっと眠い…です。指揮官は眠くならないですか？|【Live2D】黯然礼服|闇然礼装 ボイス一覧|主界面3|メイン3
Cv-30105_touch_1_11.mp3|……啊，绫波，不困的……|……あ！綾波、眠くなってないです…っ|【Live2D】黯然礼服|闇然礼装 ボイス一覧|触摸|タッチ1
Cv-30105_touch_2_11.mp3|指挥官…感觉有点奇怪？|指揮官…変な気分になっているです？|【Live2D】黯然礼服|闇然礼装 ボイス一覧|特殊触摸|タッチ2
Cv-30105_battlewarcry_11.mp3|优雅而华丽地出击…的说|優雅に、エレガントに行く、です|【Live2D】黯然礼服|闇然礼装 ボイス一覧|旗舰开战|戦闘開始
Cv-30105_battlemvp_11.mp3|“宴会最闪亮的焦点，我拿下啦！”…吹雪估计会这样说|パーティーの注目の的、いただき！…吹雪ならそう言うかもしれないです|【Live2D】黯然礼服|闇然礼装 ボイス一覧|胜利MVP|勝利
Cv-30105_battlelose_11.mp3|不会…就这样结束…！|このままでは…終わらないです…！|【Live2D】黯然礼服|闇然礼装 ボイス一覧|失败|失敗
