prefix|scenario|dialogue
着せ替え後(宵闇待ちの魔女)ボイス|メイン2|戦闘と訓練以外も、楽しいことはあるのです、ね……
着せ替え後(宵闇待ちの魔女)ボイス|メイン3|かぼちゃのライトの上に立っていれば、空により近づけるのですか？
着せ替え後(宵闇待ちの魔女)ボイス|タッチ1|この服は…好き、です
着せ替え後(宵闇待ちの魔女)ボイス|タッチ2|「今夜の私（わたくし）はキシンではなく、マジョ……」（ひらひら）
着せ替え後(ニコニコ)ボイス|入手時|新着動画、発見です…指揮官、あとで生放送でも一緒にどうです？
着せ替え後（ROCK’n KIJIN)ボイス|入手時|指揮官、一緒に音楽を聞くのはどうですか？兵器ではない綾波…お気に入りですか？
着せ替え後（ROCK’n KIJIN)ボイス|ログイン|指揮官、仕事の前に、音楽でも一緒にどうですか？
着せ替え後（ROCK’n KIJIN)ボイス|詳細確認|ヘッドホンをつければ、流れる音…そして目の前にいる人だけが世界の全てです
着せ替え後（ROCK’n KIJIN)ボイス|メイン1|指揮官、ジャベリンから誘われたのですけど、行っていいですか？
着せ替え後（ROCK’n KIJIN)ボイス|メイン2|指揮官はどんな曲が好きですか？綾波は…ロックンロール？
着せ替え後（ROCK’n KIJIN)ボイス|メイン3|雷は「そしゃげ」にハマっていると言っていたのですけど……指揮官、「そしゃげ」は何ですか？
着せ替え後（ROCK’n KIJIN)ボイス|タッチ1|綾波の艤装、楽器になれるのです。…指揮官、綾波の演奏を聞きたいですか？
着せ替え後（ROCK’n KIJIN)ボイス|任務完了|今日の報酬、少し期待できるのです
着せ替え後（ROCK’n KIJIN)ボイス|委託完了|訓練と委託…どんな時でも怠けてはいけないのです
着せ替え後（ROCK’n KIJIN)ボイス|戦闘開始|今聞いている曲、戦場にはピッタリです
着せ替え後（ROCK’n KIJIN)ボイス|勝利|「笑えばいい」…どういう意味ですか？
着せ替え後(波濤新歳)ボイス|入手時|東煌のお正月と重桜のお正月、結構雰囲気が違う…です。みんなでワイワイやる雰囲気も悪くないです。指揮官もこういう祝日が好き…ですか？
着せ替え後(波濤新歳)ボイス|ログイン|指揮官、東煌の仲間たちはネンヤー……大みそかのご飯を食べているです。綾波と一緒に見に行くです？
着せ替え後(波濤新歳)ボイス|詳細確認|東煌風の衣装は軽くて、悪くない感じです。…かわいい、ですか？ありがと…です
着せ替え後(波濤新歳)ボイス|メイン1|東煌のお正月、餃子を食べるらしいです。……焼餃子ではなく、水餃子…です？
着せ替え後(波濤新歳)ボイス|メイン2|指揮官、母港での爆発音はなんですか？祝日のアイテム？面白そう…です
着せ替え後(波濤新歳)ボイス|メイン3|(チリンチリン)鈴の音、春節の雰囲気とピッタリ、です
着せ替え後(波濤新歳)ボイス|タッチ1|指揮官、この衣装の素材、いい触り心地です。…触ってみたい…ですか？
着せ替え後(波濤新歳)ボイス|タッチ2|指揮官、そこは……めくってはダメ…です
着せ替え後(波濤新歳)ボイス|ラブ|楽しい祝日は綾波、こうして指揮官と一緒に過ごしたい…です
着せ替え後(おませアイドル・困惑中)ボイス|入手時|鬼神アイドル綾波、デビューです。ジャベリンたちも頑張ってるから、綾波も……指揮官、アイドルって何をすればいいです？
着せ替え後(おませアイドル・困惑中)ボイス|ログイン|指揮官、綾波のダンス練習を見学するです？
着せ替え後(おませアイドル・困惑中)ボイス|詳細確認|ニーミ、みんなの面倒をよく見てくれるです。……自分のオファーもあるのに、みんなのスケジュールまで組んでくれて…頼もしい、です
着せ替え後(おませアイドル・困惑中)ボイス|メイン1|歌も踊りも楽勝です。笑顔は…難しいです。ジャベリン、綾波の萌えポイントだと言ってたですけど、指揮官、本当ですか？
着せ替え後(おませアイドル・困惑中)ボイス|メイン2|ニーミ、このユニットの芸風はロックとちょっと合わないと言ったです。カワイイメタルのほうがいいです？
着せ替え後(おませアイドル・困惑中)ボイス|メイン3|吹雪もアイドルの練習やってるらしい、です。あとで見に行くです
着せ替え後(おませアイドル・困惑中)ボイス|メイン4|スケジュールがいっぱいです。綾波、やる気出てきたです
着せ替え後(おませアイドル・困惑中)ボイス|タッチ1|指揮官、綾波の今日のレッスンの成果です
着せ替え後(おませアイドル・困惑中)ボイス|母港帰還|ライブは戦い、観客は敵……と見てはだめです
着せ替え後(おませアイドル・困惑中)ボイス|戦闘開始|アイドルは、みんなの笑顔を守るものです！
着せ替え後(おませアイドル・困惑中)ボイス|勝利|勝利の決めポーズ、いえーい…です
着せ替え後(年越しの鼓動)ボイス|入手時|指揮官、あけましておめでとうです。この一年も、綾波をよろしく…です
着せ替え後(年越しの鼓動)ボイス|ログイン|祝日は皆、楽しいです。もちろん、綾波も楽しい…です
着せ替え後(年越しの鼓動)ボイス|詳細確認|吹雪、おみくじで凶が出たですけど、あまり気にしていなかったようです。綾波は…小吉、です。嬉しいです
着せ替え後(年越しの鼓動)ボイス|メイン1|お正月の衣装、とても綺麗です。でもちょっと動きづらいです…綾波、まだ慣れていないです……
着せ替え後(年越しの鼓動)ボイス|メイン2|雪の結晶、とても綺麗ですけど……手のひらに載せるとすぐ融けるです
着せ替え後(年越しの鼓動)ボイス|メイン3|この一年も、指揮官とみんなと、一緒にいたいです
着せ替え後(年越しの鼓動)ボイス|メイン4|お正月といえば…お雑煮です。ホカホカです。どうぞ召し上がって、です
着せ替え後(年越しの鼓動)ボイス|タッチ1|綾波、別に寒くないです
着せ替え後(年越しの鼓動)ボイス|タッチ2|服に変なことしちゃダメですっ、綾波、着付けがわからないです……
着せ替え後(年越しの鼓動)ボイス|母港帰還|お正月には、面白いイベントがたくさん行われるそうです。綾波はどれも試してみたいです
着せ替え後(年越しの鼓動)ボイス|ラブ|この一年で新たにしたいこと、ですか？指揮官と皆と一緒…じゃ「したいこと」とは言えないですか？指揮官とお花見にいきたい、でもいい…ですか？
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|入手時|こちら綾波、指揮官の執務室周辺に潜入成功したです。…あ、指揮官に見られたです。作戦失敗です…
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|ログイン|指揮官、綾波と潜入作戦の訓練をするです？…ちょっと無理そう、です
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|詳細確認|潜入作戦中はコードネームで、と加賀さんに言われたです。みんな中々守らなくて、困ったです…
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|メイン1|ロイヤルの人の潜入装備、本格的でカッコいいです。…ちょっと羨ましい、です
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|メイン2|困ったときは、祥鳳とニーミたちに相談したりするです。吹雪は…よく綾波にあれこれ聞きに来てくれるです。嬉しいです
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|メイン3|このマントですか？夕張が開発した「かぶったら絶対顔バレしないスゴイステルス」があるらしいです。多分…いいものです
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|メイン4|指揮官の部屋、みんなが守っているからセキュリティは大丈夫です。心配しなくていいです
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|タッチ1|指揮官、りんごを食べるです？美味しいです
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|タッチ3|耳です、角じゃないです……
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|メール|メールはたい…護衛担当のメイド隊の人も確認したです。開けても大丈夫です
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|強化成功|この力は、仲間を守るためです…！
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|戦闘開始|綾波と仲間たちの力、見せるです！
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|勝利|敵見張り部隊、撃破成功です。指揮官、感謝です
着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|失敗|夕張の開発した隠蔽機能、あまり役に立たなかったです…
着せ替え後(闇然礼装)ボイス|入手時|指揮官、パーティーに来てくれてありがとうです。綾波、ずっとここで待っていたです。……ちょっと怖いです？綾波、よくわからない…です
着せ替え後(闇然礼装)ボイス|ログイン|「レディーを待たせるのは、ジェントルマンとしてどうかと思うです」――冗談です。指揮官、おかえりなさいです
着せ替え後(闇然礼装)ボイス|詳細確認|指揮官、次はダンスです？綾波、ダンスは苦手……です。頑張るしか無いです
着せ替え後(闇然礼装)ボイス|メイン1|ニーミ、すごく場馴れしている感じです。綾波、すごくソワソワしているです…指揮官、綾波の側から離れないでほしいです…
着せ替え後(闇然礼装)ボイス|メイン2|緊張を紛らわすには――教えてもらった<†フォース†>を発動……してはダメ、です？
着せ替え後(闇然礼装)ボイス|メイン3|ピアノの音を聞いていると、なんだかちょっと眠い…です。指揮官は眠くならないですか？
着せ替え後(闇然礼装)ボイス|タッチ1|……あ！綾波、眠くなってないです…っ
着せ替え後(闇然礼装)ボイス|タッチ2|指揮官…変な気分になっているです？
着せ替え後(闇然礼装)ボイス|戦闘開始|優雅に、エレガントに行く、です
着せ替え後(闇然礼装)ボイス|勝利|パーティーの注目の的、いただき！…吹雪ならそう言うかもしれないです
着せ替え後(闇然礼装)ボイス|失敗|このままでは…終わらないです…！
改造後ボイス|入手時|綾波、改造完了……です。強くなったのです、けど…指揮官、綾波をナデナデしてもらっていい…ですか？少しだけ、甘えたい気分……です
改造後ボイス|メイン1|指揮官と一緒なら、やる気ももっと出る、です
改造後ボイス|メイン2|みんなと一緒にいるのは楽しいですから、綾波も…みんなともっと一緒にいたいです
改造後ボイス|メイン3|指揮官が綾波をかまってくれないと、少しだけ悲しい…です
改造後ボイス|タッチ1|指揮官の手、温かいです…
改造後ボイス|戦闘開始|大丈夫です、指揮官…綾波を信じて――
改造後ボイス|勝利|みんなのためなら、「鬼神」になってもいい……です
