filename|dialogue_jp|dialogue_jp_norm|prefix|prefix_jp|scenario|scenario_jp|dialogue
Cv-30105_link1.mp3|綾波、みんなを守るのです|綾波、みんなを守るのです|台词|ボイス|彩蛋（拉菲，标枪，Z23）|ラフィー、ジャベリン、Z23の内2人と編成|绫波，会保护大家的
Cv-30105_link2.mp3|ラフィー、酸素コーラ、また足りなくなったのです…|ラフィー、酸素コーラ、また足りなくなったのです…|台词|ボイス|彩蛋（拉菲）|ラフィーと編成|拉菲…房间里的氧气可乐又不够了…
Cv-30105_link3.mp3|ロング・アイランド…戦場ではよそ見しないのです|ロング・アイランド…戦場ではよそ見しないのです|台词|ボイス|彩蛋（长岛）|ロング・アイランドと編成|长岛…战场上不要分神
Cv-30105_link4.mp3|航空支援、任せるのです|航空支援、任せるのです|台词|ボイス|彩蛋（祥凤）|祥鳳と編成|航空支援就靠你了
绫波profile.mp3|None|None|台词|ボイス|简介||吹雪级驱逐舰的改良舰绫波……的说，对我来说，战斗没什么好害怕的，所以虽然只是驱逐舰，但是无论什么敌人我都敢一战……
绫波feeling1.mp3|……指揮官にはあまり近づきたくないのです|……指揮官にはあまり近づきたくないのです|台词|ボイス|好感度-失望|失望|……不是很想靠近指挥官……
绫波feeling2.mp3|指揮官のイメージですか？綾波わからないのです……|指揮官のイメージですか？綾波わからないのです……|台词|ボイス|好感度-陌生|知り合い|对指挥官的看法？绫波不是很明白……
绫波feeling3.mp3|指揮官……綾波のミミがかわいいとずっと言っているようですが、なぜ触らないのです？|指揮官……綾波のミミがかわいいとずっと言っているようですが、なぜ触らないのです？|台词|ボイス|好感度-友好|友好|指挥官……你一直说绫波的耳朵可爱，但是为什么不摸摸看呢？
绫波feeling4.mp3|心配することと言えば……指揮官がそばにいないこと、ですね……|心配することと言えば……指揮官がそばにいないこと、ですね……|台词|ボイス|好感度-喜欢|好き|如果说有什么担心的事情……大概就是不在指挥官身边吧……
绫波feeling5.mp3|戦闘は嫌いではないけど好きじゃないです。ただ普通に戦ってただけ……だけど、今は指揮官のためなら……もう少し、強くなれる気がするのです|戦闘は嫌いではないけど好きじゃないです。ただ普通に戦ってただけ……だけど、今は指揮官のためなら……もう少し、強くなれる気がするのです|台词|ボイス|好感度-爱|ラブ|我不讨厌战斗，也不喜欢，只是普通地战斗而已……现在的话，为了指挥官……感觉，会变得更强
绫波propose.mp3|安心して、今度こそどんなことがあっても生き延びて指揮官のもとに帰るのです……だって、指揮官にはまた会いたいんですもの……|安心して、今度こそどんなことがあっても生き延びて指揮官のもとに帰るのです……だって、指揮官にはまた会いたいんですもの……|台词|ボイス|誓约|ケッコン|放心吧，这次我无论如何都会活下来，然后回到指挥官面前……因为……我想见指挥官……
Cv-30105_get_9.mp3|綾波、改造完了……です。強くなったのです、けど…指揮官、綾波をナデナデしてもらっていい…ですか？少しだけ、甘えたい気分……です|綾波、改造完了……です。強くなったのです、けど…指揮官、綾波をナデナデしてもらっていい…ですか？少しだけ、甘えたい気分……です|改造|改造後ボイス|获得|入手時|绫波改造…结束。变强了一些…但是…指挥官摸摸我的头可以吗…我有点想…撒娇…
Cv-30105_main_1_9.mp3|指揮官と一緒なら、やる気ももっと出る、です|指揮官と一緒なら、やる気ももっと出る、です|改造|改造後ボイス|主界面1|メイン1|和指挥官在一起 ，感觉就能有更多干劲——
Cv-30105_main_2_9.mp3|みんなと一緒にいるのは楽しいですから、綾波も…みんなともっと一緒にいたいです|みんなと一緒にいるのは楽しいですから、綾波も…みんなともっと一緒にいたいです|改造|改造後ボイス|主界面2|メイン2|和大家在一起很开心，所以我……想和大家在一起
Cv-30105_main_3_9.mp3|指揮官が綾波をかまってくれないと、少しだけ悲しい…です|指揮官が綾波をかまってくれないと、少しだけ悲しい…です|改造|改造後ボイス|主界面3|メイン3|指挥官不理我的话，会有点……伤心
Cv-30105_touch_1_9.mp3|指揮官の手、温かいです…|指揮官の手、温かいです…|改造|改造後ボイス|触摸|タッチ1|指挥官的手，很温暖……
Cv-30105_warcry_9.mp3|大丈夫です、指揮官…綾波を信じて――|大丈夫です、指揮官…綾波を信じて――|改造|改造後ボイス|旗舰开战|戦闘開始|没关系的，指挥官……相信我——
Cv-30105_mvp_9.mp3|みんなのためなら、「鬼神」になってもいい……です|みんなのためなら、「鬼神」になってもいい……です|改造|改造後ボイス|胜利MVP|勝利|如果是为了大家，我愿意化身为“鬼神”……
Cv-30105_get_8.mp3|綾波……です。この衣装、まだ慣れないですけど…指揮官、綾波に似合っているのですか？|綾波……です。この衣装、まだ慣れないですけど…指揮官、綾波に似合っているのですか？|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|获得|入手時|还是绫波...的说。这样的服装，还不太习惯...指挥官，觉得合适吗？
Cv-30105_login_8.mp3|どこに行っても、綾波はついて行くのです。…指揮官、一緒に出発です|どこに行っても、綾波はついて行くのです。…指揮官、一緒に出発です|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|登录|ログイン|无论去那里，我都会跟上你的脚步的...一起出发吧，指挥官
Cv-30105_detail_8.mp3|今は、綾波がひとりじゃないってわかるのです…だって指揮官がここにいるんですもの|今は、綾波がひとりじゃないってわかるのです…だって指揮官がここにいるんですもの|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|查看详情|詳細確認|现在的话，能感觉到自己不是孤单一人...因为指挥官一直在这里
Cv-30105_main_1_8.mp3|この服の意味、よくわからないです。…でも指揮官が好きなら、ずっと着ていてもいいと思うです|この服の意味、よくわからないです。…でも指揮官が好きなら、ずっと着ていてもいいと思うです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|主界面1|メイン1|不太明白这身衣服的含义...不过，如果指挥官喜欢，我会一直穿着的
Cv-30105_main_2_8.mp3|みんな、盛り上がっていたです。綾波はじっと見られていたのですけど…まだ、ちょっと慣れない、です|みんな、盛り上がっていたです。綾波はじっと見られていたのですけど…まだ、ちょっと慣れない、です|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|主界面2|メイン2|大家都太过热情...一直在盯着我看。突然这样还不太习惯...
Cv-30105_touch_1_8.mp3|指揮官と寄り添い合っている感触、気持ちよくて好きです|指揮官と寄り添い合っている感触、気持ちよくて好きです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|触摸|タッチ1|这样和指挥官靠在一起的感觉很好，我很喜欢
Cv-30105_touch_2_8.mp3|やっぱり、ちょっとだけ…変な感じ、です……ううん、指揮官が好きなら綾波、タイジョウブです|やっぱり、ちょっとだけ…変な感じ、です……ううん、指揮官が好きなら綾波、タイジョウブです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|特殊触摸|タッチ2|还是感觉…有点奇怪，不过…你喜欢就好
Cv-30105_feeling5_8.mp3|みんなと一緒にいるのは嬉しいです。けど…綾波、指揮官と二人っきりでもっといたいです|みんなと一緒にいるのは嬉しいです。けど…綾波、指揮官と二人っきりでもっといたいです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|好感度-爱|ラブ|和大家呆在一起很开心，但是...还是会想要，和指挥官独处
Cv-30105_mvp_8.mp3|指揮官さえいれば、ぜったいに負けないです|指揮官さえいれば、ぜったいに負けないです|【誓约】鬼神之华裳|ケッコン後(鬼神華裳)ボイス|胜利MVP|勝利|有指挥官在，就绝对不会输
Cv-30105_get_1.mp3|ハロウィンに参加するにはこういう服を着なければならない、と聞いたのです。指揮官…今の綾波はカワイイですか？|ハロウィンに参加するにはこういう服を着なければならない、と聞いたのです。指揮官…今の綾波はカワイイですか？|待宵的魔女|着せ替え後(宵闇待ちの魔女)ボイス|获得|入手時|听说参加万圣夜必须得穿上类似的衣服……指挥官……现在的我好看吗？
Cv-30105_main_1_1.mp3|これは……お菓子ですか？ありがとです。食べるです|これは……お菓子ですか？ありがとです。食べるです|待宵的魔女|着せ替え後(宵闇待ちの魔女)ボイス|主界面1|メイン1|这是……糖果？谢谢，我会尝尝看的……
Cv-30105_main_2_1.mp3|戦闘と訓練以外も、楽しいことはあるのです、ね……|戦闘と訓練以外も、楽しいことはあるのです、ね……|待宵的魔女|着せ替え後(宵闇待ちの魔女)ボイス|主界面2|メイン2|除去战斗与训练，世界上好像还存在其他形式的乐趣……
Cv-30105_main_3_1.mp3|かぼちゃのライトの上に立っていれば、空により近づけるのですか？|かぼちゃのライトの上に立っていれば、空により近づけるのですか？|待宵的魔女|着せ替え後(宵闇待ちの魔女)ボイス|主界面3|メイン3|如果站在南瓜灯上，会不会离天空更近些呢？
Cv-30105_touch_1_1.mp3|この服は…好き、です|この服は…好き、です|待宵的魔女|着せ替え後(宵闇待ちの魔女)ボイス|触摸|タッチ1|这身衣服，我很中意……
Cv-30105_touch_2_1.mp3|「今夜の私（わたくし）はキシンではなく、マジョ……」（ひらひら）|「今夜の私（わたくし）はキシンではなく、マジョ……」（ひらひら）|待宵的魔女|着せ替え後(宵闇待ちの魔女)ボイス|特殊触摸|タッチ2|今夜的我不是鬼神，而是魔女……
Cv-30105_get_2.mp3|新着動画、発見です…指揮官、あとで生放送でも一緒にどうです？|新着動画、発見です…指揮官、あとで生放送でも一緒にどうです？|ニコニコ|着せ替え後(ニコニコ)ボイス|获得|入手時|发现新的动画投稿……指挥官，等下一起看直播好吗？
Cv-30105_get_3.mp3|指揮官、一緒に音楽を聞くのはどうですか？兵器ではない綾波…お気に入りですか？|指揮官、一緒に音楽を聞くのはどうですか？兵器ではない綾波…お気に入りですか？|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|获得|入手時|指挥官，一起听歌吗？兵器以外的我，喜欢吗？
Cv-30105_login_3.mp3|指揮官、仕事の前に、音楽でも一緒にどうですか？|指揮官、仕事の前に、音楽でも一緒にどうですか？|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|登录|ログイン|指挥官，工作之前，要先听一会音乐吗？
Cv-30105_detail_3.mp3|ヘッドホンをつければ、流れる音…そして目の前にいる人だけが世界の全てです|ヘッドホンをつければ、流れる音…そして目の前にいる人だけが世界の全てです|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|查看详情|詳細確認|戴上耳机后，感觉全世界就只剩下音乐，还有······眼前的人
Cv-30105_main_1_3.mp3|指揮官、ジャベリンから誘われたのですけど、行っていいですか？|指揮官、ジャベリンから誘われたのですけど、行っていいですか？|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|主界面1|メイン1|指挥官，标枪约我等会儿一起去玩，我可以去吗？
Cv-30105_main_2_3.mp3|指揮官はどんな曲が好きですか？綾波は…ロックンロール？|指揮官はどんな曲が好きですか？綾波は…ロックンロール？|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|主界面2|メイン2|指挥官喜欢什么样的歌呢？我的话······唔，摇滚？
Cv-30105_main_3_3.mp3|雷は「そしゃげ」にハマっていると言っていたのですけど……指揮官、「そしゃげ」は何ですか？|雷は「そしゃげ」にハマっていると言っていたのですけど……指揮官、「そしゃげ」は何ですか？|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|主界面3|メイン3|雷说她最近在玩”手机游戏“······指挥官，”手机游戏“是什么？
Cv-30105_touch_1_3.mp3|綾波の艤装、楽器になれるのです。…指揮官、綾波の演奏を聞きたいですか？|綾波の艤装、楽器になれるのです。…指揮官、綾波の演奏を聞きたいですか？|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|触摸|タッチ1|绫波的武器，现在还能变形成乐器···指挥官，想听听看吗？
Cv-30105_mission_complete_3.mp3|今日の報酬、少し期待できるのです|今日の報酬、少し期待できるのです|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|任务完成|任務完了|今天的奖励，稍微有些期待···
Cv-30105_expedition_3.mp3|訓練と委託…どんな時でも怠けてはいけないのです|訓練と委託…どんな時でも怠けてはいけないのです|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|委托完成|委託完了|训练与委托···无论何时都不能懈怠···
Cv-30105_warcry_3.mp3|今聞いている曲、戦場にはピッタリです|今聞いている曲、戦場にはピッタリです|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|旗舰开战|戦闘開始|这首歌，正适合战场···
Cv-30105_mvp_3.mp3|「笑えばいい」…どういう意味ですか？|「笑えばいい」…どういう意味ですか？|乐队型鬼神|着せ替え後（ROCK’n KIJIN)ボイス|胜利MVP|勝利|”只要微笑就可以了“···那是什么意思？
Cv-30105_get_4.mp3|東煌のお正月と重桜のお正月、結構雰囲気が違う…です。みんなでワイワイやる雰囲気も悪くないです。指揮官もこういう祝日が好き…ですか？|東煌のお正月と重桜のお正月、結構雰囲気が違う…です。みんなでワイワイやる雰囲気も悪くないです。指揮官もこういう祝日が好き…ですか？|新岁之鬼神|着せ替え後(波濤新歳)ボイス|获得|入手時|东煌的新年和重樱的新年，氛围完全不一样…的说。不过，这样热闹的气氛也不坏，指挥官也…喜欢节日吗?
Cv-30105_login_4.mp3|指揮官、東煌の仲間たちはネンヤー……大みそかのご飯を食べているです。綾波と一緒に見に行くです？|指揮官、東煌の仲間たちはネンヤー……大みそかのご飯を食べているです。綾波と一緒に見に行くです？|新岁之鬼神|着せ替え後(波濤新歳)ボイス|登录|ログイン|指挥官，东煌那边好像在吃“年夜饭”?……要不要和绫波一起去看看?
Cv-30105_detail_4.mp3|東煌風の衣装は軽くて、悪くない感じです。…かわいい、ですか？ありがと…です|東煌風の衣装は軽くて、悪くない感じです。…かわいい、ですか？ありがと…です|新岁之鬼神|着せ替え後(波濤新歳)ボイス|查看详情|詳細確認|东煌风格的衣服，轻巧，感觉不坏…很可爱?谢谢…的说。
Cv-30105_main_1_4.mp3|東煌のお正月、餃子を食べるらしいです。……焼餃子ではなく、水餃子…です？|東煌のお正月、餃子を食べるらしいです。……焼餃子ではなく、水餃子…です？|新岁之鬼神|着せ替え後(波濤新歳)ボイス|主界面1|メイン1|东煌的春节好像要吃饺子…诶?不是煎饺而是水饺…的说?
Cv-30105_main_2_4.mp3|指揮官、母港での爆発音はなんですか？祝日のアイテム？面白そう…です|指揮官、母港での爆発音はなんですか？祝日のアイテム？面白そう…です|新岁之鬼神|着せ替え後(波濤新歳)ボイス|主界面2|メイン2|指挥官，为什么港区里会有爆炸的声音?诶?那是庆祝节日用的道具吗?有点有趣…的说。
Cv-30105_main_3_4.mp3|(チリンチリン)鈴の音、春節の雰囲気とピッタリ、です|(チリンチリン)鈴の音、春節の雰囲気とピッタリ、です|新岁之鬼神|着せ替え後(波濤新歳)ボイス|主界面3|メイン3|铃铃~铃铃~铃铛的音色…很合适新年的氛围……
Cv-30105_touch_1_4.mp3|指揮官、この衣装の素材、いい触り心地です。…触ってみたい…ですか？|指揮官、この衣装の素材、いい触り心地です。…触ってみたい…ですか？|新岁之鬼神|着せ替え後(波濤新歳)ボイス|触摸|タッチ1|指挥官，这衣服的材质摸起来很舒服…要试试……?
Cv-30105_touch_2_4.mp3|指揮官、そこは……めくってはダメ…です|指揮官、そこは……めくってはダメ…です|新岁之鬼神|着せ替え後(波濤新歳)ボイス|特殊触摸|タッチ2|指挥官，那里，不可以掀起来……的说。
Cv-30105_feeling5_4.mp3|楽しい祝日は綾波、こうして指揮官と一緒に過ごしたい…です|楽しい祝日は綾波、こうして指揮官と一緒に過ごしたい…です|新岁之鬼神|着せ替え後(波濤新歳)ボイス|好感度-爱|ラブ|欢乐祥和的节日，绫波希望就这样和指挥官一起度过…的说
Cv-30105_get_5.mp3|None|None|一式水手风制服||获得|入手時|“欢迎光临，指挥官”…打招呼的时候是这样…吧？
Cv-30105_login_5.mp3|None|None|一式水手风制服||登录|ログイン|指挥官，今天想要来点什么吗？菜单在这里…的说
Cv-30105_detail_5.mp3|None|None|一式水手风制服||查看详情|詳細確認|见习服务生，是绫波没有经历过的体验，感觉很新鲜…的说
Cv-30105_main_1_5.mp3|None|None|一式水手风制服||主界面1|メイン1|拉菲说，有时候也需要换换口味，所以…今天要来点甜点吗，指挥官？
Cv-30105_main_2_5.mp3|None|None|一式水手风制服||主界面2|メイン2|标枪无论做什么的时候都好有精神，有点羡慕…的说
Cv-30105_main_3_5.mp3|None|None|一式水手风制服||主界面3|メイン3|服务生的工作…果然没有想象中的那么简单…的说
Cv-30105_touch_1_5.mp3|None|None|一式水手风制服||触摸|タッチ1|餐盘要像这样端…的说——指挥官想要帮绫波？没关系的，还是让绫波自己来吧
Cv-30105_home_5.mp3|None|None|一式水手风制服||回港|母港帰還|要来一份庆祝胜利回港的特别套餐吗…？
Cv-30105_feeling5_5.mp3|None|None|一式水手风制服||好感度-爱|ラブ|等店里忙完以后，想要和指挥官一起…绫波会给指挥官准备，在店里学会的，特别料理套餐…的说，指挥官，可以吗？
Cv-30105_get_7.mp3|鬼神アイドル綾波、デビューです。ジャベリンたちも頑張ってるから、綾波も……指揮官、アイドルって何をすればいいです？|鬼神アイドル綾波、デビューです。ジャベリンたちも頑張ってるから、綾波も……指揮官、アイドルって何をすればいいです？|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|获得|入手時|偶像，绫波，出道？唔，因为标枪她们也出道了，所以，我也要一起……指挥官，偶像平时，都做些什么呢？
Cv-30105_login_7.mp3|指揮官、綾波のダンス練習を見学するです？|指揮官、綾波のダンス練習を見学するです？|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|登录|ログイン|指挥官，我正在练习跳舞，要看吗？
Cv-30105_detail_7.mp3|ニーミ、みんなの面倒をよく見てくれるです。……自分のオファーもあるのに、みんなのスケジュールまで組んでくれて…頼もしい、です|ニーミ、みんなの面倒をよく見てくれるです。……自分のオファーもあるのに、みんなのスケジュールまで組んでくれて…頼もしい、です|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|查看详情|詳細確認|Z23，很关心大家……明明自己也有活动，还会帮大家做日程安排，很可靠
Cv-30105_main_1_7.mp3|歌も踊りも楽勝です。笑顔は…難しいです。ジャベリン、綾波の萌えポイントだと言ってたですけど、指揮官、本当ですか？|歌も踊りも楽勝です。笑顔は…難しいです。ジャベリン、綾波の萌えポイントだと言ってたですけど、指揮官、本当ですか？|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|主界面1|メイン1|舞蹈和唱歌我都会，露出笑容，好难…但是，标枪说，这也是我的“萌点”，是真的吗，指挥官？
Cv-30105_main_2_7.mp3|ニーミ、このユニットの芸風はロックとちょっと合わないと言ったです。カワイイメタルのほうがいいです？|ニーミ、このユニットの芸風はロックとちょっと合わないと言ったです。カワイイメタルのほうがいいです？|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|主界面2|メイン2|Z23说，偶像和摇滚可能不是很搭，唔，这样的话，可爱金属？
Cv-30105_main_3_7.mp3|吹雪もアイドルの練習やってるらしい、です。あとで見に行くです|吹雪もアイドルの練習やってるらしい、です。あとで見に行くです|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|主界面3|メイン3|吹雪好像也在做偶像练习。一会…去看看她好了
Cv-30105_main_4_7.mp3|スケジュールがいっぱいです。綾波、やる気出てきたです|スケジュールがいっぱいです。綾波、やる気出てきたです|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|主界面4|メイン4|原来，当偶像每天有那么多的事情要做，感觉，燃起了斗志
Cv-30105_touch_1_7.mp3|指揮官、綾波の今日のレッスンの成果です|指揮官、綾波の今日のレッスンの成果です|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|触摸|タッチ1|指挥官，这里是绫波今天训练的成果
Cv-30105_home_7.mp3|ライブは戦い、観客は敵……と見てはだめです|ライブは戦い、観客は敵……と見てはだめです|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|回港|母港帰還|把演出看作战斗，观众是敌人的话……唔，好像不行
Cv-30105_warcry_7.mp3|アイドルは、みんなの笑顔を守るものです！|アイドルは、みんなの笑顔を守るものです！|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|旗舰开战|戦闘開始|偶像的职责，是保护大家的笑容！
Cv-30105_mvp_7.mp3|勝利の決めポーズ、いえーい…です|勝利の決めポーズ、いえーい…です|冷静偶像·迷惑中|着せ替え後(おませアイドル・困惑中)ボイス|胜利MVP|勝利|胜利的pose，yeah
Cv-30105_get_10.mp3|指揮官、あけましておめでとうです。この一年も、綾波をよろしく…です|指揮官、あけましておめでとうです。この一年も、綾波をよろしく…です|新年的愿望|着せ替え後(年越しの鼓動)ボイス|获得|入手時|指挥官，新年快乐。新的一年，也请多多指教…的说。
Cv-30105_login_10.mp3|祝日は皆、楽しいです。もちろん、綾波も楽しい…です|祝日は皆、楽しいです。もちろん、綾波も楽しい…です|新年的愿望|着せ替え後(年越しの鼓動)ボイス|登录|ログイン|节日里，大家都很开心。绫波，也很开心…
Cv-30105_detail_10.mp3|吹雪、おみくじで凶が出たですけど、あまり気にしていなかったようです。綾波は…小吉、です。嬉しいです|吹雪、おみくじで凶が出たですけど、あまり気にしていなかったようです。綾波は…小吉、です。嬉しいです|新年的愿望|着せ替え後(年越しの鼓動)ボイス|查看详情|詳細確認|吹雪在神社抽到了“凶”，不过，她好像不怎么在意。…我？“小吉”，有点高兴
Cv-30105_main_1_10.mp3|お正月の衣装、とても綺麗です。でもちょっと動きづらいです…綾波、まだ慣れていないです……|お正月の衣装、とても綺麗です。でもちょっと動きづらいです…綾波、まだ慣れていないです……|新年的愿望|着せ替え後(年越しの鼓動)ボイス|主界面1|メイン1|新年的衣服，很华丽，但是行动有些不便。绫波还没有完全适应…
Cv-30105_main_2_10.mp3|雪の結晶、とても綺麗ですけど……手のひらに載せるとすぐ融けるです|雪の結晶、とても綺麗ですけど……手のひらに載せるとすぐ融けるです|新年的愿望|着せ替え後(年越しの鼓動)ボイス|主界面2|メイン2|雪花很漂亮，但是，一落在手上，就消失不见了
Cv-30105_main_3_10.mp3|この一年も、指揮官とみんなと、一緒にいたいです|この一年も、指揮官とみんなと、一緒にいたいです|新年的愿望|着せ替え後(年越しの鼓動)ボイス|主界面3|メイン3|新的一年，也希望能和指挥官，还有大家，一直在一起。
Cv-30105_main_4_10.mp3|お正月といえば…お雑煮です。ホカホカです。どうぞ召し上がって、です|お正月といえば…お雑煮です。ホカホカです。どうぞ召し上がって、です|新年的愿望|着せ替え後(年越しの鼓動)ボイス|主界面4|メイン4|说到新年的话…煮年糕？指挥官，要来一份吗？还热腾腾的
Cv-30105_touch_1_10.mp3|綾波、別に寒くないです|綾波、別に寒くないです|新年的愿望|着せ替え後(年越しの鼓動)ボイス|触摸|タッチ1|绫波，不冷的说
Cv-30105_touch_2_10.mp3|服に変なことしちゃダメですっ、綾波、着付けがわからないです……|服に変なことしちゃダメですっ、綾波、着付けがわからないです……|新年的愿望|着せ替え後(年越しの鼓動)ボイス|特殊触摸|タッチ2|不要把衣服弄乱了，不然绫波也不知道该怎么弄好…
Cv-30105_feeling5_10.mp3|この一年で新たにしたいこと、ですか？指揮官と皆と一緒…じゃ「したいこと」とは言えないですか？指揮官とお花見にいきたい、でもいい…ですか？|この一年で新たにしたいこと、ですか？指揮官と皆と一緒…じゃ「したいこと」とは言えないですか？指揮官とお花見にいきたい、でもいい…ですか？|新年的愿望|着せ替え後(年越しの鼓動)ボイス|好感度-爱|ラブ|新的一年想做的事情？和指挥官还有大家在一起…不算吗？那…春天的时候，想和指挥官一起看樱花，可以吗？
Cv-30105_get_6.mp3|こちら綾波、指揮官の執務室周辺に潜入成功したです。…あ、指揮官に見られたです。作戦失敗です…|こちら綾波、指揮官の執務室周辺に潜入成功したです。…あ、指揮官に見られたです。作戦失敗です…|特殊潜入作战披风|着せ替え後(特殊潜入作戦雨覆（マント）)ボイス|获得|入手時|这里是绫波，成功潜入指挥室。…啊，被指挥官发现了， 作战失败…的说
